common name,genus,species,code,num
Great Frigatebird,Fregata,minor,GREF,3
Great Egret,Ardea,alba,GREG,1
Green Jay,Cyanocorax,yncas,GREJ,2
Greenish Elaenia,Myiopagis,viridicata,GREL,5
Green Parakeet,Psittacara,holochlorus,GREP,2
Gray Flycatcher,Empidonax,wrightii,GRFL,1
Graylag Goose,Anser,anser,GRGO,5
Gray Hawk,Buteo,plagiatus,GRHA,2
Green Heron,Butorides,virescens,GRHE,1
Greater Koa-Finch,Rhodacanthis,palmeri,GRKF,6
Great Knot,Calidris,tenuirostris,GRKN,4
Gray Nightjar,Caprimulgus,indicus,GRNI,5
Greater Prairie-Chicken,Tympanuchus,cupido,GRPC,2
Greater Pewee,Contopus,pertinax,GRPE,2
Greater Roadrunner,Geococcyx,californianus,GRRO,1
Green Sandpiper,Tringa,ochropus,GRSA,4
Greater Scaup,Aythya,marila,GRSC,1
Gray Silky-flycatcher,Ptiliogonys,cinereus,GRSF,5
Greater Sage-Grouse,Centrocercus,urophasianus,GRSG,1
Great Shearwater,Ardenna,gravis,GRSH,1
Great Skua,Stercorarius,skua,GRSK,3
Grasshopper Sparrow,Ammodramus,savannarum,GRSP,1
Gray Vireo,Vireo,vicinior,GRVI,2
Grace's Warbler,Setophaga,graciae,GRWA,1
Greater Yellowlegs,Tringa,melanoleuca,GRYE,1
Greater Sand-Plover,Charadrius,leschenaultii,GSAP,5
Gray-streaked Flycatcher,Muscicapa,griseisticta,GSFL,4
Great Spotted Woodpecker,Dendrocopos,major,GSWO,4
Great-tailed Grackle,Quiscalus,mexicanus,GTGR,1
Gray-tailed Tattler,Tringa,brevipes,GTTA,3
Green-tailed Towhee,Pipilo,chlorurus,GTTO,1
Guadalupe Murrelet,Synthliboramphus,hypoleucus,GUMU,3
Gunnison Sage-Grouse,Centrocercus,minimus,GUSG,2
Greater White-fronted Goose,Anser,albifrons,GWFG,1
Glaucous-winged Gull,Larus,glaucescens,GWGU,1
Great-winged Petrel,Pterodroma,macroptera,GWPE,5
Green-winged Teal,Anas,crecca,GWTE,1
Golden-winged Warbler,Vermivora,chrysoptera,GWWA,2
Gray-breasted Martin,Progne,chalybea,GYBM,5
Gyrfalcon,Falco,rusticolus,GYRF,2
Hawaii Akepa,Loxops,coccineus,HAAK,3
Hawaii Amakihi,Chlorodrepanis,virens,HAAM,2
Hawaiian Coot,Fulica,alai,HACO,2
Harlequin Duck,Histrionicus,histrionicus,HADU,1
Hawaii Elepaio,Chasiempis,sandwichensis,HAEL,2
Hammond's Flycatcher,Empidonax,hammondii,HAFL,1
Hawaiian Goose,Branta,sandvicensis,HAGO,2
Hawaii Mamo,Drepanis,pacifica,HAMA,6
Hawaii Oo,Moho,nobilis,HAOO,6
Hawaiian Petrel,Pterodroma,sandwichensis,HAPE,3
Hawaiian Rail,Zapornia,sandwichensis,HARA,6
Harris's Hawk,Parabuteo,unicinctus,HASH,1
Harris's Sparrow,Zonotrichia,querula,HASP,1
Hawaiian Duck,Anas,wyvilliana,HAWD,2
Hawfinch,Coccothraustes,coccothraustes,HAWF,4
Hawaiian Hawk,Buteo,solitarius,HAWH,2
Hairy Woodpecker,Picoides,villosus,HAWO,1
Hook-billed Kite,Chondrohierax,uncinatus,HBKI,3
Hawaii Creeper,Loxops,mana,HCRE,3
Hawaiian Crow,Corvus,hawaiiensis,HCRO,6
Heermann's Gull,Larus,heermanni,HEEG,1
Herald Petrel,Pterodroma,heraldica,HEPE,4
Herring Gull,Larus,argentatus,HERG,1
Henslow's Sparrow,Ammodramus,henslowii,HESP,2
Hepatic Tanager,Piranga,flava,HETA,2
Hermit Thrush,Catharus,guttatus,HETH,1
Hermit Warbler,Setophaga,occidentalis,HEWA,1
Himalayan Snowcock,Tetraogallus,himalayensis,HISN,3
House Finch,Haemorhous,mexicanus,HOFI,1
Horned Grebe,Podiceps,auritus,HOGR,1
